Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),-1.88%,-12.60%,-787943145,-770896608,-181142,-10206332,-2391653,-32558,-42462,-4205411,13021,1.00%
2018,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),-7.82%,-120.94%,-584104630,-540958435,-131996,-7165082,-1674513,-23299,-353913,-33819055,21663,2.00%
2018,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),-0.51%,-5.93%,-487443107,-461213170,-110397,-6026393,-1401709,-19151,-602330,-18070263,306,3.00%
2018,KEPPEL CORPORATION LIMITED,Singapore,Activities of membership organisation n.e.c. (91),-9.97%,-98.03%,-436728188,-424473975,-94001,-5234332,-1226792,-16670,-926351,-4731643,-24425,10.00%
2018,TOSHIBA CORPORATION,Japan,Activities of membership organisation n.e.c. (91),-1.13%,-69.92%,-408287542,-393842749,-90051,-5224889,-1224788,-16384,-88012,-7800659,-11,0.00%
2018,REMGRO LIMITED,South Africa,Activities of membership organisation n.e.c. (91),-17.86%,-439.53%,-386150456,-246771761,-55438,-3211530,-748206,-10048,-275681,-135073389,-4403,3.00%
2018,EURAZEO SE,France,Activities of membership organisation n.e.c. (91),-7.32%,N/A,-366142826,-216102739,-78815,-2827522,-666873,-10930,-4106,-146495121,43279,0.00%
2018,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. (91),-20.38%,-205.59%,-325521963,-318353121,-72068,-4181945,-976953,-13086,-203649,-1717888,-3252,3.00%
2018,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa,Activities of membership organisation n.e.c. (91),-14.20%,-69.17%,-235000634,-143799482,-32123,-1858591,-432125,-5815,-210890,-88658241,-3368,4.00%
2018,NISSHINBO HOLDINGS INCORPORATED,Japan,Activities of membership organisation n.e.c. (91),-3.89%,N/A,-196964806,-192684933,-47794,-2562153,-600579,-8324,-12373,-1056060,7408,0.00%
2018,RHEINMETALL AG,Germany,Activities of membership organisation n.e.c. (91),-1.77%,-26.51%,-124730963,-121991479,-29212,-1620231,-378263,-5188,-44592,-665138,3140,2.00%
2018,AITKEN SPENCE & CO. LTD.,Sri Lanka,Activities of membership organisation n.e.c. (91),-42.46%,-341.08%,-121070779,-117594873,-26692,-1537204,-360368,-4830,-60329,-1484892,-1591,3.00%
2018,AAMAL CO QPSC,Qatar,Activities of membership organisation n.e.c. (91),-17.93%,-68.34%,-63347738,-18657647,-4320,-247649,-57976,-808,-497,-44378926,85,0.00%
2018,DOOSAN CORP,South Korea,Activities of membership organisation n.e.c. (91),-0.36%,-5.42%,-59236819,-56734943,-13192,-737990,-171611,-2365,-162876,-1414411,568,6.00%
2018,SAMSUNG C&T CORP,South Korea,Activities of membership organisation n.e.c. (91),-0.21%,-6.05%,-57735910,-56262862,-20194,-723107,-167963,-2949,-279246,-295263,15674,18.00%
2018,REUNERT LTD,South Africa,Activities of membership organisation n.e.c. (91),-3.40%,-25.52%,-24760050,-20224586,-4289,-245224,-55898,-767,-92960,-4134842,-1485,15.00%
2018,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. (91),-0.51%,-3.16%,-20717046,-20263807,-4933,-269770,-63116,-870,-4258,-110983,692,4.00%
2018,BALMER LAWRIE AND COMPANY LTD,India,Activities of membership organisation n.e.c. (91),-3.75%,-31.82%,-9275235,-6671648,-1506,-87543,-20517,-274,-493,-2493165,-88,2.00%
2018,AMERICAN AIRLINES GROUP INC,United States,Air transport (62),-28.90%,-373.26%,-12873828528,-12597094960,-3046271,-165637613,-38336344,-543479,-2132371,-67681840,644351,5.00%
2018,DELTA AIR LINES INC,United States,Air transport (62),-25.46%,-217.15%,-11315762197,-11074211540,-2519726,-143830867,-33594184,-459553,-2127440,-59072648,53761,5.00%
2018,UNITED CONTINENTAL HOLDINGS INCORPORATED,United States,Air transport (62),-26.06%,-284.82%,-10763354823,-10532304968,-2513357,-138166875,-31932620,-450807,-1977354,-56467659,458818,6.00%
2018,AIR FRANCE KLM SA,France,Air transport (62),-28.63%,-563.10%,-8690400055,-8505233826,-2087161,-110337042,-25851313,-361999,-1253729,-45490377,215393,5.00%
2018,SOUTHWEST AIRLINES CO.,United States,Air transport (62),-31.16%,-215.15%,-6843892416,-6697101901,-1513264,-87801535,-20342424,-276995,-1051560,-35830088,25350,5.00%
2018,DEUTSCHE LUFTHANSA AG,Germany,Air transport (62),-14.79%,-285.65%,-6069869031,-5932999197,-2939996,-84505867,-19548140,-434266,-97752,-34357914,5014101,6.00%
2018,ANA HOLDINGS INC,Japan,Air transport (62),-19.51%,-233.87%,-3506824293,-3430964615,-860174,-45652647,-10647756,-151907,-83339,-18721860,258005,2.00%
2018,EVA AIRWAYS CORP,Taiwan,Air transport (62),-34.79%,-704.08%,-2044600916,-2000687641,-465683,-26429853,-6131314,-84761,-73714,-10788926,60976,4.00%
2018,KOREAN AIR LINES COMPANY LIMITED,South Korea,Air transport (62),-17.35%,-352.67%,-2029671783,-1983795749,-1167064,-28323169,-6529717,-165011,-373834,-11511601,2194363,8.00%
2018,NORWEGIAN AIR SHUTTLE ASA,Norway,Air transport (62),-34.31%,N/A,-1594232479,-1558311628,-471208,-20910690,-4886343,-78224,-190500,-9741470,357584,15.00%
2018,SAS AB,Sweden,Air transport (62),-17.99%,-312.81%,-905312027,-884933316,-384014,-12484938,-2909629,-58426,-  ,-5114016,572312,1.00%
2018,SINOTRANS LTD,China,Air transport (62),-0.53%,-18.26%,-59393824,-58113444,-14187,-766666,-180199,-2437,-  ,-316892,-  ,0.00%
2018,FEDEX CORPORATION,United States,Air transport (62),8.22%,102.71%,5382229564,5273847574,-2262753,61208863,15220252,-179727,-3133376,26843013,10685719,14.00%
2018,"AIR PRODUCTS AND CHEMICALS,INC.",United States,Chemicals nec,-103.70%,-483.47%,-9260460321,-8401590435,-1934495,-111695382,-26184630,-351096,-480147,-718262331,38196,0.00%
2018,AIR LIQUIDE,France,Chemicals nec,-36.15%,-232.97%,-8695592265,-8448919527,-1997073,-112093867,-26289024,-356148,-1000882,-105041270,105527,0.00%
2018,LINDE PLC,United Kingdom,Chemicals nec,-54.33%,-312.07%,-8060725656,-7625235433,-1767782,-101423787,-23772335,-320023,-311237,-307966223,71165,3.00%
2018,COVESTRO AG,Germany,Chemicals nec,-12.99%,-76.43%,-2173698839,-2097879611,-472988,-27131756,-6356749,-85612,-5629461,-36105274,-37387,5.00%
2018,TOKUYAMA CORPORATION,Japan,Chemicals nec,-64.14%,-478.77%,-1800807730,-1729623024,-495339,-23418740,-5438136,-83375,-375955,-41679234,306073,1.00%
2018,PROCTER & GAMBLE CO,United States,Chemicals nec,-2.54%,-11.50%,-1700462670,-1489488097,-352161,-19192146,-4477793,-62495,-3593335,-183319598,22956,6.00%
2018,SHIN-ETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,-12.78%,-54.67%,-1678381719,-1627579263,-377660,-21357847,-5003986,-67947,-1759113,-22243952,8048,3.00%
2018,KIMBERLY-CLARK CORPORATION,United States,Chemicals nec,-8.92%,-74.01%,-1649688192,-1366473565,-331681,-18477794,-4136939,-58270,-993931,-259279202,63189,5.00%
2018,TAIYO NIPPON SANSO CORPORATION,Japan,Chemicals nec,-22.66%,-272.75%,-1334669787,-1293989616,-316101,-17279342,-3955480,-54956,-788640,-18323997,38346,2.00%
2018,DONGYUE GROUP LIMITED,China,Chemicals nec,-60.54%,-267.93%,-1251570362,-1027892522,-234549,-13400996,-3123701,-42301,-2112183,-204756195,-7916,4.00%
2018,WACKER CHEMIE AG,Germany,Chemicals nec,-16.91%,-376.93%,-964068786,-833957269,-208034,-10877424,-2542847,-36018,-1917622,-114565370,35798,4.00%
2018,CELANESE CORPORATION,United States,Chemicals nec,-12.13%,-65.23%,-868199935,-828143288,-211791,-10950502,-2552320,-35886,-384701,-25956354,34907,5.00%
2018,HENGAN INTERNATIONAL GROUP COMPANY LTD,China,Chemicals nec,-22.24%,-104.74%,-785253299,-611182051,-131866,-7652506,-1762933,-23899,-3607400,-160860785,-31860,11.00%
2018,AIR WATER INCORPORATED,Japan,Chemicals nec,-7.96%,-141.40%,-546417209,-513496393,-117644,-6937804,-1510225,-20977,-919638,-23420805,6277,10.00%
2018,ASHLAND GLOBAL HOLDINGS INC,United States,Chemicals nec,-13.33%,-142.95%,-498890616,-296512256,-77648,-3982940,-896306,-12915,-201249,-197225563,18261,3.00%
2018,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,-13.23%,-160.75%,-389270027,-375372173,-83700,-5051479,-1133487,-15384,-393944,-7221746,1887,6.00%
2018,"PPG INDUSTRIES,INC.",United States,Chemicals nec,-2.45%,-20.24%,-376815495,-274511488,-71643,-3577161,-816609,-12297,-826609,-97027370,27681,7.00%
2018,KAO CORP,Japan,Chemicals nec,-2.65%,-20.04%,-364680126,-346405317,-79433,-4276164,-1001881,-13971,-1840361,-11053569,-9432,13.00%
2018,CLARIANT AG,Switzerland,Chemicals nec,-5.05%,-59.45%,-340160012,-273319873,-69027,-3636914,-848700,-12023,-7304,-62283533,17361,1.00%
2018,MINERALS TECHNOLOGIES INC.,United States,Chemicals nec,-18.76%,-130.38%,-339123677,-202651390,-51095,-2714235,-618243,-8712,-97189,-132991631,8819,2.00%
2018,W. R. GRACE & CO,United States,Chemicals nec,-16.82%,-81.85%,-324946880,-257470680,-57627,-3454913,-789184,-10583,-103883,-63059831,-180,3.00%
2018,KIMBERLY-CLARK DE MEXICO S.A.B. DE C.V.,Mexico,Chemicals nec,-14.31%,-78.20%,-298768148,-257914351,-55335,-3389046,-748167,-10218,-697167,-35948485,-5379,12.00%
2018,ALBEMARLE CORPORATION,United States,Chemicals nec,-8.78%,-42.26%,-296318309,-260397181,-81799,-3407699,-771833,-11638,-181460,-31483661,16960,5.00%
2018,HITACHI CHEMICAL CO LTD,Japan,Chemicals nec,-4.74%,-76.37%,-289386351,-278940390,-62197,-3579321,-831243,-11252,-816728,-5138089,-7130,7.00%
2018,KRATON CORP,United States,Chemicals nec,-13.85%,-111.90%,-278537177,-196467211,-49202,-2616106,-608490,-8618,-108161,-78691690,12301,1.00%
2018,NITTO DENKO CORPORATION,Japan,Chemicals nec,-3.28%,-23.43%,-256251049,-248505725,-72699,-3027184,-704758,-10279,-1044976,-2877989,-7439,2.00%
2018,DIC CORPORATION,Japan,Chemicals nec,-3.16%,-52.58%,-231880790,-208556155,-46397,-2605244,-607027,-8328,-983024,-19067325,-7290,11.00%
2018,AECI LIMITED,South Africa,Chemicals nec,-11.36%,-132.51%,-184112134,-161824521,-48662,-2048882,-464067,-6975,-639623,-19084034,4630,6.00%
2018,JOHNSON MATTHEY PUBLIC LIMITED COMPANY,United Kingdom,Chemicals nec,-0.89%,-24.93%,-160743606,-155680285,-37608,-1973495,-460765,-6569,-375959,-2212513,3589,10.00%
2018,AKZO NOBEL INDIA LIMITED,India,Chemicals nec,-37.93%,-425.15%,-148189038,-95048265,-21322,-1286605,-287628,-3911,-45278,-51497022,993,1.00%
2018,AFRICAN OXYGEN LTD,South Africa,Chemicals nec,-35.01%,-301.11%,-147133262,-139231750,-34863,-1824934,-423626,-5857,-165900,-5447531,1201,2.00%
2018,SANYO CHEMICAL INDUSTRIES LIMITED,Japan,Chemicals nec,-8.43%,-113.54%,-124174508,-113259643,-24831,-1534873,-334448,-4585,-197328,-8819445,646,16.00%
2018,ELEMENTIS PLC,United Kingdom,Chemicals nec,-19.03%,-132.94%,-117607156,-104248177,-24455,-1391826,-321698,-4357,-12908,-11604657,921,9.00%
2018,AXALTA COATING SYSTEMS LTD,United States,Chemicals nec,-2.22%,-17.21%,-104055594,-97433417,-21622,-1259437,-289161,-3929,-252488,-4793619,-1920,7.00%
2018,SYNTHOMER PLC,United Kingdom,Chemicals nec,-4.76%,-61.46%,-98141951,-92895662,-23095,-1224687,-286128,-3988,-43099,-3668357,3064,2.00%
2018,INGEVITY CORP,United States,Chemicals nec,-8.29%,-35.76%,-94009794,-75386183,-20220,-1014552,-226507,-3311,-60950,-17303602,5531,5.00%
2018,SWANCOR HOLDING CO LTD,Taiwan,Chemicals nec,-39.54%,-905.50%,-80033961,-78217666,-19295,-1027694,-238556,-3290,-108767,-419499,807,2.00%
2018,SYMRISE AG,Germany,Chemicals nec,-2.19%,-17.72%,-78981851,-72373372,-42804,-939267,-120945,-3743,-1214799,-4311577,24655,20.00%
2018,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,United States,Chemicals nec,-1.97%,-13.34%,-78391006,-69892439,-15609,-886818,-207476,-2816,-213859,-7170006,-1983,8.00%
2018,CRODA INTERNATIONAL PLC,United Kingdom,Chemicals nec,-3.83%,-15.79%,-67706573,-63592393,-17098,-830579,-193995,-2769,-36922,-3035452,2636,6.00%
2018,ASALEO CARE LTD,Australia,Chemicals nec,-19.65%,-126.62%,-56683374,-46909228,-13191,-619167,-140855,-2037,-18833,-8982013,1951,9.00%
2018,GIVAUDAN SA,Switzerland,Chemicals nec,-0.94%,-6.11%,-52678910,-51158105,-12009,-669536,-154131,-2150,-6095,-678037,1153,5.00%
2018,SUOMINEN OYJ,Finland,Chemicals nec,-10.04%,-2030.87%,-49548809,-43983113,-10901,-604620,-131980,-1859,-2867,-4815297,1827,1.00%
2018,GODREJ CONSUMER PRODUCTS LTD,India,Chemicals nec,-1.99%,-10.07%,-28153832,-17300423,-7307,-202850,-34884,-792,-163896,-10446479,2799,4.00%
2018,CHINA STEEL CHEMICAL CORPORATION,Taiwan,Chemicals nec,-9.95%,-47.93%,-27812144,-27097877,-8142,-343018,-77126,-1176,-150280,-135639,1115,6.00%
2018,ONTEX GROUP NV,Belgium,Chemicals nec,-0.67%,-8.87%,-17713448,-17062770,-15254,-428650,12825,-820,-30449,-201662,13332,15.00%
2018,VICTREX PLC,United Kingdom,Chemicals nec,-2.90%,-7.45%,-12047227,-11476033,-3038,-156232,-33527,-490,-8679,-369849,620,2.00%
2018,MCBRIDE PLC,United Kingdom,Chemicals nec,-1.32%,-25.07%,-11598985,-10799909,-3345,-151262,-28901,-475,-18364,-598040,1311,4.00%
2018,SAN FU CHEMICAL CO LTD,Taiwan,Chemicals nec,-7.15%,-70.07%,-9453369,-9190551,-1987,-117984,-25744,-356,-71093,-45265,-389,18.00%
2018,MARICO LIMITED,India,Chemicals nec,-0.76%,-4.57%,-6908232,-4011100,-3069,-35851,-265,-213,-105268,-2754264,1798,10.00%
2018,SHINY CHEMICAL INDUSTRIAL COMPANY LIMITED,Taiwan,Chemicals nec,-2.34%,-17.87%,-6138285,-5907086,-2766,-52497,-12245,-236,-141052,-21564,-839,6.00%
2018,PENNON GROUP PLC,United Kingdom,"Collection,purification and distribution of water (41)",-34.05%,-145.34%,-605895223,-592723511,-135654,-7882912,-1848127,-24679,-2399,-3278163,221,0.00%
2018,COMPANIA SANEAMENTO DE MINAS GERAIS,Brazil,"Collection,purification and distribution of water (41)",-17.38%,-84.48%,-212700080,-208097922,-47580,-2760064,-646939,-8651,-1147,-1137596,-180,0.00%
2018,SEVERN TRENT PLC,United Kingdom,"Collection,purification and distribution of water (41)",-6.04%,-19.24%,-130372146,-127508211,-29288,-1695683,-397547,-5318,-2910,-733456,268,0.00%
2018,UNITED UTILITIES GROUP PLC,United Kingdom,"Collection,purification and distribution of water (41)",-4.91%,-13.19%,-108615480,-106222560,-24423,-1412588,-331176,-4432,-2982,-617594,275,0.00%
2018,GUANGDONG INVESTMENT LTD.,Hong Kong,"Collection,purification and distribution of water (41)",-5.63%,-13.21%,-96095700,-94035029,-28595,-1219467,-277692,-4685,-64528,-488069,22366,12.00%
2018,MICROSOFT CORPORATION,United States,Computer and related activities (72),-0.75%,-2.35%,-824087462,-768658882,-174850,-10114963,-2369349,-31818,-136968,-42597822,-2810,2.00%
2018,PANASONIC CORPORATION,Japan,Computer and related activities (72),-1.04%,-22.41%,-754437792,-730146444,-173297,-9752809,-2268463,-30982,-72331,-12011124,17657,3.00%
2018,LG ELECTRONICS INCORPORATED,South Korea,Computer and related activities (72),-1.16%,-26.31%,-638813722,-612792826,-143468,-7420209,-1715061,-26351,-1099386,-15658827,42406,17.00%
2018,SONY CORPORATION,Japan,Computer and related activities (72),-0.56%,-6.50%,-432890114,-424112768,-97321,-5646990,-1316990,-17700,-77422,-1623450,2526,0.00%
2018,INTERNATIONAL BUSINESS MACHINES CORPORATION,United States,Computer and related activities (72),-0.47%,-3.31%,-376837330,-357320378,-94281,-4739562,-1103007,-16287,-98780,-13504396,39362,7.00%
2018,FUJITSU LIMITED,Japan,Computer and related activities (72),-0.96%,-32.92%,-359927731,-350731159,-80719,-4665518,-1091610,-14655,-37138,-3308844,1912,0.00%
2018,SHARP CORPORATION,Japan,Computer and related activities (72),-1.37%,-36.89%,-302990391,-293037923,-67447,-3898919,-912670,-12249,-21995,-5040836,1646,0.00%
2018,TATA CONSULTANCY SERVICES LTD,India,Computer and related activities (72),-1.17%,-4.70%,-206092015,-134531193,-32724,-1796153,-420740,-5833,-1378,-69310228,6234,0.00%
2018,ORACLE CORPORATION,United States,Computer and related activities (72),-0.39%,-1.09%,-155488305,-147438892,-40006,-1954543,-454148,-6845,-49434,-5564135,19698,9.00%
2018,INFOSYS LIMITED,India,Computer and related activities (72),-0.88%,-3.59%,-88736274,-38961202,-8944,-517812,-121258,-1627,-789,-49124821,180,0.00%
2018,SAP SE,Germany,Computer and related activities (72),-0.29%,-1.15%,-83215883,-79948867,-24531,-1059052,-247903,-3896,-75915,-1870197,14478,14.00%
2018,NEXTDC LIMITED,Australia,Computer and related activities (72),-61.98%,-274.95%,-70556900,-63062851,-14428,-838724,-196630,-2626,-54,-6441609,22,0.00%
2018,NTT DATA CORPORATION,Japan,Computer and related activities (72),-0.36%,-6.22%,-70065069,-68017517,-17503,-905805,-211673,-3012,-19185,-895058,4683,6.00%
2018,WIPRO LIMITED,India,Computer and related activities (72),-0.86%,-5.58%,-66950697,-40347587,-9254,-536332,-125632,-1683,-610,-25929738,139,0.00%
2018,NIKON CORPORATION,Japan,Computer and related activities (72),-0.98%,-13.18%,-64121583,-61576751,-14671,-821953,-191403,-2618,-6498,-1509276,1586,3.00%
2018,TECH MAHINDRA LIMITED,India,Computer and related activities (72),-1.33%,-11.16%,-58763877,-38780260,-8884,-515608,-120821,-1616,-344,-19336422,78,0.00%
2018,CAPGEMINI SE,France,Computer and related activities (72),-0.33%,-3.18%,-50107233,-44871173,-12326,-597948,-139484,-2086,-23814,-4466239,5837,9.00%
2018,"KINPO ELECTRONICS,INC.",Taiwan,Computer and related activities (72),-1.09%,-81.71%,-47507717,-46467840,-11122,-616025,-144196,-1971,-13972,-253556,965,2.00%
2018,SKYWORTH DIGITAL HOLDINGS LTD,Hong Kong,Computer and related activities (72),-0.53%,-44.48%,-32184813,-23293175,-5624,-309331,-72360,-999,-3759,-8500349,783,2.00%
2018,"FOSTER ELECTRIC COMPANY,LIMITED",Japan,Computer and related activities (72),-1.66%,-33.06%,-28043983,-27434283,-6444,-364971,-85506,-1158,-1675,-150355,409,2.00%
2018,SYMANTEC CORPORATION,United States,Computer and related activities (72),-0.50%,-5.28%,-24240553,-21583188,-5699,-286279,-66621,-984,-5999,-2294173,2391,7.00%
2018,ADOBE INC,United States,Computer and related activities (72),-0.22%,-0.71%,-20115762,-18386164,-5630,-243091,-56065,-926,-11207,-1417144,4466,13.00%
