Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,BALOISE HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.06%,-0.77%,"(43,87,738)","(42,91,399)",-1149,-56181,-12980,-199,-3601,-22820,590,6%
2018,UNIQA INSURANCE GROUP AG,Austria,Activities auxiliary to financial intermediation (67),-0.04%,-0.91%,"(26,24,080)","(25,72,556)",-710,-29801,-6854,-115,-2255,-12046,257,2%
2018,JSE LIMITED,South Africa,Activities auxiliary to financial intermediation (67),-1.60%,N/A,"(24,55,967)","(24,02,073)",-547,-31823,-7445,-100,-881,-13091,-6,1%
2018,HELVETIA HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.02%,-0.40%,"(22,16,174)","(21,66,559)",-717,-27634,-6226,-117,-4759,-10941,780,12%
2018,AF POYRY AB,Sweden,Activities auxiliary to financial intermediation (67),-0.13%,-1.56%,"(21,15,702)","(20,68,003)",-636,-26385,-6050,-108,-4530,-10634,643,10%
2018,PAGEGROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.10%,-1.11%,"(20,13,163)","(19,67,899)",-558,-26105,-6115,-92,-1897,-10751,253,11%
2018,BURSA MALAYSIA BHD,Malaysia,Activities auxiliary to financial intermediation (67),-1.58%,-2.93%,"(19,98,283)","(19,49,360)",-458,-25654,-6009,-82,-181,-16560,22,1%
2018,ASSYSTEM SA,France,Activities auxiliary to financial intermediation (67),-0.23%,-3.94%,"(11,64,020)","(11,38,425)",-295,-15193,-3551,-51,-366,-6243,104,7%
2018,JAPAN EXCHANGE GROUP INC,Japan,Activities auxiliary to financial intermediation (67),-0.08%,-0.14%,"(8,98,638)","(8,78,338)",-294,-11750,-2737,-46,-903,-4812,243,18%
2018,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),-0.14%,-0.55%,"(5,37,523)","(5,25,239)",-152,-6908,-1604,-25,-852,-2821,78,11%
2018,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),-0.15%,-0.27%,"(5,24,241)","(5,12,332)",-177,-6458,-1517,-26,-706,-3130,106,16%
2018,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.05%,0.09%,"5,77,291","5,63,271",153,9028,2117,28,-920,3724,-110,20%
2018,AVIVA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.04%,N/A,"87,82,133","86,09,784",741,"1,15,277",27088,246,-21521,47646,2872,20%
2018,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),-95.89%,-2189.27%,"(8,22,78,16,563)","(7,11,63,96,013)","(18,53,987)","(9,22,27,165)","(2,17,39,790)","(2,98,881)","(18,15,342)","(99,34,37,521)",-47864,1%
2018,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),-376.27%,-2955.54%,"(6,57,60,92,035)","(1,30,19,88,839)","(3,15,150)","(1,73,40,109)","(40,66,610)",-55840,-613,"(5,25,23,66,239)",41363,0%
2018,ENKA INSAAT VE SANAYI A.S.,Turkey,Activities of membership organisation n.e.c. (91),-121.03%,-578.57%,"(3,18,11,38,672)","(2,94,10,11,636)","(6,62,466)","(3,44,34,547)","(80,66,828)","(1,13,463)","(27,13,110)","(19,39,24,340)","(2,12,281)",18%
2018,AYALA CORPORATION,Philippines,Activities of membership organisation n.e.c. (91),-49.60%,-275.57%,"(2,59,92,54,823)","(2,51,64,19,819)","(5,71,797)","(3,29,75,542)","(77,30,568)","(1,03,543)","(11,08,817)","(4,03,15,502)",-29236,2%
2018,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),-7.10%,-34.95%,"(2,32,68,51,406)","(2,05,79,93,678)","(4,71,879)","(2,74,28,852)","(63,90,857)",-85804,-33282,"(23,44,57,260)",10206,0%
2018,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),-8.28%,-109.80%,"(1,54,48,51,032)","(1,34,61,16,434)","(3,08,275)","(1,79,02,538)","(41,97,241)",-56063,-3727,"(17,62,67,646)",891,0%
2018,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),-23.11%,-110.30%,"(82,35,26,227)","(80,19,92,150)","(1,80,905)","(1,03,31,629)","(24,21,911)",-32568,"(7,54,090)","(77,93,091)",-19883,4%
2018,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),-1.88%,-12.60%,"(78,79,43,145)","(77,08,96,608)","(1,81,142)","(1,02,06,332)","(23,91,653)",-32558,-42462,"(42,05,411)",13021,1%
2018,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),-7.82%,-120.94%,"(58,41,04,630)","(54,09,58,435)","(1,31,996)","(71,65,082)","(16,74,513)",-23299,"(3,53,913)","(3,38,19,055)",21663,2%
2018,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),-0.51%,-5.93%,"(48,74,43,107)","(46,12,13,170)","(1,10,397)","(60,26,393)","(14,01,709)",-19151,"(6,02,330)","(1,80,70,263)",306,3%
2018,KEPPEL CORPORATION LIMITED,Singapore,Activities of membership organisation n.e.c. (91),-9.97%,-98.03%,"(43,67,28,188)","(42,44,73,975)",-94001,"(52,34,332)","(12,26,792)",-16670,"(9,26,351)","(47,31,643)",-24425,10%
2018,TOSHIBA CORPORATION,Japan,Activities of membership organisation n.e.c. (91),-1.13%,-69.92%,"(40,82,87,542)","(39,38,42,749)",-90051,"(52,24,889)","(12,24,788)",-16384,-88012,"(78,00,659)",-11,0%
2018,REMGRO LIMITED,South Africa,Activities of membership organisation n.e.c. (91),-17.86%,-439.53%,"(38,61,50,456)","(24,67,71,761)",-55438,"(32,11,530)","(7,48,206)",-10048,"(2,75,681)","(13,50,73,389)",-4403,3%
2018,EURAZEO SE,France,Activities of membership organisation n.e.c. (91),-7.32%,N/A,"(36,61,42,826)","(21,61,02,739)",-78815,"(28,27,522)","(6,66,873)",-10930,-4106,"(14,64,95,121)",43279,0%
2018,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. (91),-20.38%,-205.59%,"(32,55,21,963)","(31,83,53,121)",-72068,"(41,81,945)","(9,76,953)",-13086,"(2,03,649)","(17,17,888)",-3252,3%
2018,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa,Activities of membership organisation n.e.c. (91),-14.20%,-69.17%,"(23,50,00,634)","(14,37,99,482)",-32123,"(18,58,591)","(4,32,125)",-5815,"(2,10,890)","(8,86,58,241)",-3368,4%
2018,NISSHINBO HOLDINGS INCORPORATED,Japan,Activities of membership organisation n.e.c. (91),-3.89%,N/A,"(19,69,64,806)","(19,26,84,933)",-47794,"(25,62,153)","(6,00,579)",-8324,-12373,"(10,56,060)",7408,0%
2018,RHEINMETALL AG,Germany,Activities of membership organisation n.e.c. (91),-1.77%,-26.51%,"(12,47,30,963)","(12,19,91,479)",-29212,"(16,20,231)","(3,78,263)",-5188,-44592,"(6,65,138)",3140,2%
2018,AITKEN SPENCE & CO. LTD.,Sri Lanka,Activities of membership organisation n.e.c. (91),-42.46%,-341.08%,"(12,10,70,779)","(11,75,94,873)",-26692,"(15,37,204)","(3,60,368)",-4830,-60329,"(14,84,892)",-1591,3%
2018,AAMAL CO QPSC,Qatar,Activities of membership organisation n.e.c. (91),-17.93%,-68.34%,"(6,33,47,738)","(1,86,57,647)",-4320,"(2,47,649)",-57976,-808,-497,"(4,43,78,926)",85,0%
2018,DOOSAN CORP,South Korea,Activities of membership organisation n.e.c. (91),-0.36%,-5.42%,"(5,92,36,819)","(5,67,34,943)",-13192,"(7,37,990)","(1,71,611)",-2365,"(1,62,876)","(14,14,411)",568,6%
2018,SAMSUNG C&T CORP,South Korea,Activities of membership organisation n.e.c. (91),-0.21%,-6.05%,"(5,77,35,910)","(5,62,62,862)",-20194,"(7,23,107)","(1,67,963)",-2949,"(2,79,246)","(2,95,263)",15674,18%
2018,REUNERT LTD,South Africa,Activities of membership organisation n.e.c. (91),-3.40%,-25.52%,"(2,47,60,050)","(2,02,24,586)",-4289,"(2,45,224)",-55898,-767,-92960,"(41,34,842)",-1485,15%
2018,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. (91),-0.51%,-3.16%,"(2,07,17,046)","(2,02,63,807)",-4933,"(2,69,770)",-63116,-870,-4258,"(1,10,983)",692,4%
2018,BALMER LAWRIE AND COMPANY LTD,India,Activities of membership organisation n.e.c. (91),-3.75%,-31.82%,"(92,75,235)","(66,71,648)",-1506,-87543,-20517,-274,-493,"(24,93,165)",-88,2%
2018,AMERICAN AIRLINES GROUP INC,United States,Air transport (62),-28.90%,-373.26%,"(12,87,38,28,528)","(12,59,70,94,960)","(30,46,271)","(16,56,37,613)","(3,83,36,344)","(5,43,479)","(21,32,371)","(6,76,81,840)","6,44,351",5%
2018,DELTA AIR LINES INC,United States,Air transport (62),-25.46%,-217.15%,"(11,31,57,62,197)","(11,07,42,11,540)","(25,19,726)","(14,38,30,867)","(3,35,94,184)","(4,59,553)","(21,27,440)","(5,90,72,648)",53761,5%
2018,UNITED CONTINENTAL HOLDINGS INCORPORATED,United States,Air transport (62),-26.06%,-284.82%,"(10,76,33,54,823)","(10,53,23,04,968)","(25,13,357)","(13,81,66,875)","(3,19,32,620)","(4,50,807)","(19,77,354)","(5,64,67,659)","4,58,818",6%
2018,AIR FRANCE KLM SA,France,Air transport (62),-28.63%,-563.10%,"(8,69,04,00,055)","(8,50,52,33,826)","(20,87,161)","(11,03,37,042)","(2,58,51,313)","(3,61,999)","(12,53,729)","(4,54,90,377)","2,15,393",5%
2018,SOUTHWEST AIRLINES CO.,United States,Air transport (62),-31.16%,-215.15%,"(6,84,38,92,416)","(6,69,71,01,901)","(15,13,264)","(8,78,01,535)","(2,03,42,424)","(2,76,995)","(10,51,560)","(3,58,30,088)",25350,5%
2018,DEUTSCHE LUFTHANSA AG,Germany,Air transport (62),-14.79%,-285.65%,"(6,06,98,69,031)","(5,93,29,99,197)","(29,39,996)","(8,45,05,867)","(1,95,48,140)","(4,34,266)",-97752,"(3,43,57,914)","50,14,101",6%
2018,ANA HOLDINGS INC,Japan,Air transport (62),-19.51%,-233.87%,"(3,50,68,24,293)","(3,43,09,64,615)","(8,60,174)","(4,56,52,647)","(1,06,47,756)","(1,51,907)",-83339,"(1,87,21,860)","2,58,005",2%
2018,EVA AIRWAYS CORP,Taiwan,Air transport (62),-34.79%,-704.08%,"(2,04,46,00,916)","(2,00,06,87,641)","(4,65,683)","(2,64,29,853)","(61,31,314)",-84761,-73714,"(1,07,88,926)",60976,4%
2018,KOREAN AIR LINES COMPANY LIMITED,South Korea,Air transport (62),-17.35%,-352.67%,"(2,02,96,71,783)","(1,98,37,95,749)","(11,67,064)","(2,83,23,169)","(65,29,717)","(1,65,011)","(3,73,834)","(1,15,11,601)","21,94,363",8%
2018,NORWEGIAN AIR SHUTTLE ASA,Norway,Air transport (62),-34.31%,N/A,"(1,59,42,32,479)","(1,55,83,11,628)","(4,71,208)","(2,09,10,690)","(48,86,343)",-78224,"(1,90,500)","(97,41,470)","3,57,584",15%
2018,SAS AB,Sweden,Air transport (62),-17.99%,-312.81%,"(90,53,12,027)","(88,49,33,316)","(3,84,014)","(1,24,84,938)","(29,09,629)",-58426,-  ,"(51,14,016)","5,72,312",1%
2018,SINOTRANS LTD,China,Air transport (62),-0.53%,-18.26%,"(5,93,93,824)","(5,81,13,444)",-14187,"(7,66,666)","(1,80,199)",-2437,-  ,"(3,16,892)",-  ,0%
2018,FEDEX CORPORATION,United States,Air transport (62),8.22%,102.71%,"5,38,22,29,564","5,27,38,47,574","(22,62,753)","6,12,08,863","1,52,20,252","(1,79,727)","(31,33,376)","2,68,43,013","1,06,85,719",14%
2018,"AIR PRODUCTS AND CHEMICALS,INC.",United States,Chemicals nec,-103.70%,-483.47%,"(9,26,04,60,321)","(8,40,15,90,435)","(19,34,495)","(11,16,95,382)","(2,61,84,630)","(3,51,096)","(4,80,147)","(71,82,62,331)",38196,0%
2018,AIR LIQUIDE,France,Chemicals nec,-36.15%,-232.97%,"(8,69,55,92,265)","(8,44,89,19,527)","(19,97,073)","(11,20,93,867)","(2,62,89,024)","(3,56,148)","(10,00,882)","(10,50,41,270)","1,05,527",0%
2018,LINDE PLC,United Kingdom,Chemicals nec,-54.33%,-312.07%,"(8,06,07,25,656)","(7,62,52,35,433)","(17,67,782)","(10,14,23,787)","(2,37,72,335)","(3,20,023)","(3,11,237)","(30,79,66,223)",71165,3%
2018,COVESTRO AG,Germany,Chemicals nec,-12.99%,-76.43%,"(2,17,36,98,839)","(2,09,78,79,611)","(4,72,988)","(2,71,31,756)","(63,56,749)",-85612,"(56,29,461)","(3,61,05,274)",-37387,5%
2018,TOKUYAMA CORPORATION,Japan,Chemicals nec,-64.14%,-478.77%,"(1,80,08,07,730)","(1,72,96,23,024)","(4,95,339)","(2,34,18,740)","(54,38,136)",-83375,"(3,75,955)","(4,16,79,234)","3,06,073",1%
2018,PROCTER & GAMBLE CO,United States,Chemicals nec,-2.54%,-11.50%,"(1,70,04,62,670)","(1,48,94,88,097)","(3,52,161)","(1,91,92,146)","(44,77,793)",-62495,"(35,93,335)","(18,33,19,598)",22956,6%
2018,SHIN-ETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,-12.78%,-54.67%,"(1,67,83,81,719)","(1,62,75,79,263)","(3,77,660)","(2,13,57,847)","(50,03,986)",-67947,"(17,59,113)","(2,22,43,952)",8048,3%
2018,KIMBERLY-CLARK CORPORATION,United States,Chemicals nec,-8.92%,-74.01%,"(1,64,96,88,192)","(1,36,64,73,565)","(3,31,681)","(1,84,77,794)","(41,36,939)",-58270,"(9,93,931)","(25,92,79,202)",63189,5%
2018,TAIYO NIPPON SANSO CORPORATION,Japan,Chemicals nec,-22.66%,-272.75%,"(1,33,46,69,787)","(1,29,39,89,616)","(3,16,101)","(1,72,79,342)","(39,55,480)",-54956,"(7,88,640)","(1,83,23,997)",38346,2%
2018,DONGYUE GROUP LIMITED,China,Chemicals nec,-60.54%,-267.93%,"(1,25,15,70,362)","(1,02,78,92,522)","(2,34,549)","(1,34,00,996)","(31,23,701)",-42301,"(21,12,183)","(20,47,56,195)",-7916,4%
2018,WACKER CHEMIE AG,Germany,Chemicals nec,-16.91%,-376.93%,"(96,40,68,786)","(83,39,57,269)","(2,08,034)","(1,08,77,424)","(25,42,847)",-36018,"(19,17,622)","(11,45,65,370)",35798,4%
2018,CELANESE CORPORATION,United States,Chemicals nec,-12.13%,-65.23%,"(86,81,99,935)","(82,81,43,288)","(2,11,791)","(1,09,50,502)","(25,52,320)",-35886,"(3,84,701)","(2,59,56,354)",34907,5%
2018,HENGAN INTERNATIONAL GROUP COMPANY LTD,China,Chemicals nec,-22.24%,-104.74%,"(78,52,53,299)","(61,11,82,051)","(1,31,866)","(76,52,506)","(17,62,933)",-23899,"(36,07,400)","(16,08,60,785)",-31860,11%
2018,AIR WATER INCORPORATED,Japan,Chemicals nec,-7.96%,-141.40%,"(54,64,17,209)","(51,34,96,393)","(1,17,644)","(69,37,804)","(15,10,225)",-20977,"(9,19,638)","(2,34,20,805)",6277,10%
2018,ASHLAND GLOBAL HOLDINGS INC,United States,Chemicals nec,-13.33%,-142.95%,"(49,88,90,616)","(29,65,12,256)",-77648,"(39,82,940)","(8,96,306)",-12915,"(2,01,249)","(19,72,25,563)",18261,3%
2018,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,-13.23%,-160.75%,"(38,92,70,027)","(37,53,72,173)",-83700,"(50,51,479)","(11,33,487)",-15384,"(3,93,944)","(72,21,746)",1887,6%
2018,"PPG INDUSTRIES,INC.",United States,Chemicals nec,-2.45%,-20.24%,"(37,68,15,495)","(27,45,11,488)",-71643,"(35,77,161)","(8,16,609)",-12297,"(8,26,609)","(9,70,27,370)",27681,7%
2018,KAO CORP,Japan,Chemicals nec,-2.65%,-20.04%,"(36,46,80,126)","(34,64,05,317)",-79433,"(42,76,164)","(10,01,881)",-13971,"(18,40,361)","(1,10,53,569)",-9432,13%
2018,CLARIANT AG,Switzerland,Chemicals nec,-5.05%,-59.45%,"(34,01,60,012)","(27,33,19,873)",-69027,"(36,36,914)","(8,48,700)",-12023,-7304,"(6,22,83,533)",17361,1%
2018,MINERALS TECHNOLOGIES INC.,United States,Chemicals nec,-18.76%,-130.38%,"(33,91,23,677)","(20,26,51,390)",-51095,"(27,14,235)","(6,18,243)",-8712,-97189,"(13,29,91,631)",8819,2%
2018,W. R. GRACE & CO,United States,Chemicals nec,-16.82%,-81.85%,"(32,49,46,880)","(25,74,70,680)",-57627,"(34,54,913)","(7,89,184)",-10583,"(1,03,883)","(6,30,59,831)",-180,3%
2018,KIMBERLY-CLARK DE MEXICO S.A.B. DE C.V.,Mexico,Chemicals nec,-14.31%,-78.20%,"(29,87,68,148)","(25,79,14,351)",-55335,"(33,89,046)","(7,48,167)",-10218,"(6,97,167)","(3,59,48,485)",-5379,12%
2018,ALBEMARLE CORPORATION,United States,Chemicals nec,-8.78%,-42.26%,"(29,63,18,309)","(26,03,97,181)",-81799,"(34,07,699)","(7,71,833)",-11638,"(1,81,460)","(3,14,83,661)",16960,5%
2018,HITACHI CHEMICAL CO LTD,Japan,Chemicals nec,-4.74%,-76.37%,"(28,93,86,351)","(27,89,40,390)",-62197,"(35,79,321)","(8,31,243)",-11252,"(8,16,728)","(51,38,089)",-7130,7%
2018,KRATON CORP,United States,Chemicals nec,-13.85%,-111.90%,"(27,85,37,177)","(19,64,67,211)",-49202,"(26,16,106)","(6,08,490)",-8618,"(1,08,161)","(7,86,91,690)",12301,1%
2018,NITTO DENKO CORPORATION,Japan,Chemicals nec,-3.28%,-23.43%,"(25,62,51,049)","(24,85,05,725)",-72699,"(30,27,184)","(7,04,758)",-10279,"(10,44,976)","(28,77,989)",-7439,2%
2018,DIC CORPORATION,Japan,Chemicals nec,-3.16%,-52.58%,"(23,18,80,790)","(20,85,56,155)",-46397,"(26,05,244)","(6,07,027)",-8328,"(9,83,024)","(1,90,67,325)",-7290,11%
2018,AECI LIMITED,South Africa,Chemicals nec,-11.36%,-132.51%,"(18,41,12,134)","(16,18,24,521)",-48662,"(20,48,882)","(4,64,067)",-6975,"(6,39,623)","(1,90,84,034)",4630,6%
2018,JOHNSON MATTHEY PUBLIC LIMITED COMPANY,United Kingdom,Chemicals nec,-0.89%,-24.93%,"(16,07,43,606)","(15,56,80,285)",-37608,"(19,73,495)","(4,60,765)",-6569,"(3,75,959)","(22,12,513)",3589,10%
2018,AKZO NOBEL INDIA LIMITED,India,Chemicals nec,-37.93%,-425.15%,"(14,81,89,038)","(9,50,48,265)",-21322,"(12,86,605)","(2,87,628)",-3911,-45278,"(5,14,97,022)",993,1%
2018,AFRICAN OXYGEN LTD,South Africa,Chemicals nec,-35.01%,-301.11%,"(14,71,33,262)","(13,92,31,750)",-34863,"(18,24,934)","(4,23,626)",-5857,"(1,65,900)","(54,47,531)",1201,2%
2018,SANYO CHEMICAL INDUSTRIES LIMITED,Japan,Chemicals nec,-8.43%,-113.54%,"(12,41,74,508)","(11,32,59,643)",-24831,"(15,34,873)","(3,34,448)",-4585,"(1,97,328)","(88,19,445)",646,16%
2018,ELEMENTIS PLC,United Kingdom,Chemicals nec,-19.03%,-132.94%,"(11,76,07,156)","(10,42,48,177)",-24455,"(13,91,826)","(3,21,698)",-4357,-12908,"(1,16,04,657)",921,9%
2018,AXALTA COATING SYSTEMS LTD,United States,Chemicals nec,-2.22%,-17.21%,"(10,40,55,594)","(9,74,33,417)",-21622,"(12,59,437)","(2,89,161)",-3929,"(2,52,488)","(47,93,619)",-1920,7%
2018,SYNTHOMER PLC,United Kingdom,Chemicals nec,-4.76%,-61.46%,"(9,81,41,951)","(9,28,95,662)",-23095,"(12,24,687)","(2,86,128)",-3988,-43099,"(36,68,357)",3064,2%
2018,INGEVITY CORP,United States,Chemicals nec,-8.29%,-35.76%,"(9,40,09,794)","(7,53,86,183)",-20220,"(10,14,552)","(2,26,507)",-3311,-60950,"(1,73,03,602)",5531,5%
2018,SWANCOR HOLDING CO LTD,Taiwan,Chemicals nec,-39.54%,-905.50%,"(8,00,33,961)","(7,82,17,666)",-19295,"(10,27,694)","(2,38,556)",-3290,"(1,08,767)","(4,19,499)",807,2%
2018,SYMRISE AG,Germany,Chemicals nec,-2.19%,-17.72%,"(7,89,81,851)","(7,23,73,372)",-42804,"(9,39,267)","(1,20,945)",-3743,"(12,14,799)","(43,11,577)",24655,20%
2018,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,United States,Chemicals nec,-1.97%,-13.34%,"(7,83,91,006)","(6,98,92,439)",-15609,"(8,86,818)","(2,07,476)",-2816,"(2,13,859)","(71,70,006)",-1983,8%
2018,CRODA INTERNATIONAL PLC,United Kingdom,Chemicals nec,-3.83%,-15.79%,"(6,77,06,573)","(6,35,92,393)",-17098,"(8,30,579)","(1,93,995)",-2769,-36922,"(30,35,452)",2636,6%
2018,ASALEO CARE LTD,Australia,Chemicals nec,-19.65%,-126.62%,"(5,66,83,374)","(4,69,09,228)",-13191,"(6,19,167)","(1,40,855)",-2037,-18833,"(89,82,013)",1951,9%
2018,GIVAUDAN SA,Switzerland,Chemicals nec,-0.94%,-6.11%,"(5,26,78,910)","(5,11,58,105)",-12009,"(6,69,536)","(1,54,131)",-2150,-6095,"(6,78,037)",1153,5%
2018,SUOMINEN OYJ,Finland,Chemicals nec,-10.04%,-2030.87%,"(4,95,48,809)","(4,39,83,113)",-10901,"(6,04,620)","(1,31,980)",-1859,-2867,"(48,15,297)",1827,1%
2018,GODREJ CONSUMER PRODUCTS LTD,India,Chemicals nec,-1.99%,-10.07%,"(2,81,53,832)","(1,73,00,423)",-7307,"(2,02,850)",-34884,-792,"(1,63,896)","(1,04,46,479)",2799,4%
2018,CHINA STEEL CHEMICAL CORPORATION,Taiwan,Chemicals nec,-9.95%,-47.93%,"(2,78,12,144)","(2,70,97,877)",-8142,"(3,43,018)",-77126,-1176,"(1,50,280)","(1,35,639)",1115,6%
2018,ONTEX GROUP NV,Belgium,Chemicals nec,-0.67%,-8.87%,"(1,77,13,448)","(1,70,62,770)",-15254,"(4,28,650)",12825,-820,-30449,"(2,01,662)",13332,15%
2018,VICTREX PLC,United Kingdom,Chemicals nec,-2.90%,-7.45%,"(1,20,47,227)","(1,14,76,033)",-3038,"(1,56,232)",-33527,-490,-8679,"(3,69,849)",620,2%
